order id,,,date,total,shipping,shipping_refund,gift,VAT,GST,PST,refund
D01-5984028-5811412,,,2020-02-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
D01-1119863-6934601,,,2020-01-22,CDN$14.95,0,0,0,0,0,Item(s) Subtotal: CDN$ 14.95        ----          Total Before Tax: CDN$ 14.95Tax (GST/HST): CDN$ 0.00Tax (PST/RST/QST): CDN$ 0.00    ----   Total for this Order: CDN$ 14.95,0
701-3052522-6854643,,,2020-01-04,CDN$29.84,CDN$ 6.99,0,0,CDN$ 29.84,0,CDN$ 0.00,0
701-0705574-0033867,,,2021-12-29,CDN$45.19,CDN$ 0.00,0,0,CDN$ 39.99,0,CDN$ 0.00,0
702-6041686-6227454,,,2021-12-20,CDN$86.36,CDN$ 0.00,0,0,CDN$ 76.42,0,CDN$ 0.00,0
702-7769471-0172229,,,2021-12-15,CDN$21.35,CDN$ 0.00,0,0,CDN$ 18.89,0,CDN$ 0.00,0
702-4284270-9076243,,,2021-11-25,CDN$90.39,CDN$ 0.00,0,0,CDN$ 79.99,0,CDN$ 0.00,0
702-7419100-7566613,,,2021-11-19,CDN$29.81,CDN$ 0.00,0,0,CDN$ 26.38,0,CDN$ 0.00,0
702-9967311-2241827,,,2021-11-12,CDN$67.79,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 59.99,0,CDN$ 0.00,0
702-8977716-4833024,,,2021-11-09,CDN$14.99,CDN$ 0.00,0,0,CDN$ 14.99,0,CDN$ 0.00,0
702-1993289-7204239,,,2021-11-09,CDN$42.93,CDN$ 0.00,0,0,CDN$ 37.99,0,CDN$ 0.00,0
702-9311673-1349811,,,2021-11-08,CDN$40.67,CDN$ 0.00,0,0,CDN$ 35.99,0,CDN$ 0.00,0
702-4675451-1871438,,,2021-11-08,CDN$28.58,CDN$ 0.00,0,0,CDN$ 28.58,0,CDN$ 0.00,0
702-1916154-6396229,,,2021-11-08,CDN$90.37,CDN$ 0.00,0,0,CDN$ 79.97,0,CDN$ 0.00,0
702-3225704-0606625,,,2021-11-05,CDN$56.21,CDN$ 12.98,0,0,CDN$ 56.21,0,CDN$ 0.00,0
702-3758085-3754637,,,2021-10-30,CDN$51.96,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 45.98,0,CDN$ 0.00,0
702-3034832-4445830,,,2021-10-26,CDN$18.75,CDN$ 0.00,0,0,CDN$ 16.59,0,CDN$ 0.00,0
702-4621285-9183455,,,2021-10-19,CDN$12.99,CDN$ 0.00,0,0,CDN$ 12.99,0,CDN$ 0.00,0
702-7541984-0556253,,,2021-10-15,CDN$113.33,CDN$ 0.00,0,0,CDN$ 100.29,0,CDN$ 0.00,0
702-1044682-1081016,,,2021-10-15,CDN$20.20,CDN$ 0.00,0,0,CDN$ 17.88,0,CDN$ 0.00,0
702-8272198-4789062,,,2021-09-28,CDN$17.94,CDN$ 0.00,0,0,CDN$ 15.88,0,CDN$ 0.00,0
702-8464795-2437062,,,2021-09-22,CDN$31.36,CDN$ 0.00,0,0,CDN$ 31.36,0,CDN$ 0.00,0
